Subject,Item,Status,Manipulability,Actual RT,Accuracy
43,bottle,New,manipulable,766,1
43,Laine-naskain,Old,NA,738,0
43,llama,Old,nonmanipulable,902,1
43,toaster,New,manipulable,695,1
43,Plank48,New,NA,763,1
43,potter3,New,NA,943,1
43,Plank49,Old,NA,951,0
43,dolphin,Old,nonmanipulable,715,1
43,trombone,Old,manipulable,620,1
43,brain,New,nonmanipulable,701,1
43,potter15,Old,NA,706,0
43,satellite,New,nonmanipulable,657,1
43,tape,Old,manipulable,707,1
43,stoplight,Old,nonmanipulable,697,1
43,Laine-MAALITSA,Old,NA,939,0
43,Laine-LISTIN,New,NA,793,1
43,Laine-kosseli,Old,NA,803,0
43,mammoth,New,nonmanipulable,871,1
43,platypus,Old,nonmanipulable,662,1
43,Laine-pynna,Old,NA,705,1
43,compass,New,manipulable,734,1
43,potter4,New,NA,735,1
43,Plank50,Old,NA,731,0
43,hose,Old,manipulable,700,1
43,barbell,Old,manipulable,649,1
43,Laine-HAAHLA,New,NA,809,1
43,seaturtle,New,nonmanipulable,750,1
43,plank108,New,NA,873,1
43,lighthouse,Old,nonmanipulable,848,1
43,Laine-liippa,New,NA,609,1
43,plant,Old,nonmanipulable,798,0
43,Laine-pintta,New,NA,847,1
43,strainer,Old,manipulable,646,1
43,colander,New,manipulable,640,1
43,Eals10,Old,NA,972,1
43,Eals29,Old,NA,927,1
43,potter29,New,NA,787,1
43,vacuum,Old,manipulable,1009,1
43,Eals32,New,NA,786,1
43,potter1,New,NA,650,1
43,shark,Old,nonmanipulable,685,1
43,potter27,New,NA,693,1
43,saturn,Old,nonmanipulable,610,1
43,mug,New,manipulable,632,1
43,Laine-vemmel,New,NA,582,1
43,Laine-PALIN,Old,NA,597,0
43,cane,New,manipulable,654,1
45,tepee,Old,nonmanipulable,484,0
45,potter24,New,NA,667,1
45,Laine-LUISTI,New,NA,707,1
45,bellows,New,manipulable,457,0
45,potter9,Old,NA,604,0
45,legos,Old,manipulable,637,1
45,heater,New,nonmanipulable,500,1
45,Laine-RIITMOTT,Old,NA,1300,0
45,mouse,New,manipulable,864,1
45,Eals23,Old,NA,907,1
45,whisk,New,manipulable,703,1
45,razor,New,manipulable,679,1
45,Plank17,Old,NA,928,0
45,chimney,Old,nonmanipulable,660,1
45,Eals14,New,NA,597,1
45,sloth,Old,nonmanipulable,500,0
45,stamp,New,manipulable,747,1
45,battery,New,manipulable,665,0
45,Laine-HOYLA,New,NA,520,1
45,Eals08,Old,NA,710,1
45,whale,New,nonmanipulable,621,0
45,Eals12,New,NA,455,1
45,potter12,Old,NA,855,1
45,potter16,New,NA,655,1
45,needle,Old,manipulable,666,1
45,frisbee,New,manipulable,581,1
45,moose,New,nonmanipulable,757,1
45,kirk1,Old,NA,1308,0
45,Eals19,New,NA,730,0
45,Plank45,New,NA,432,1
45,drawer,New,nonmanipulable,455,0
45,Laine-ROVE,Old,NA,602,0
45,potter11,New,NA,637,0
45,headphones,Old,manipulable,725,1
45,ruler,Old,manipulable,495,0
